PrecNo,PrecName,Tot,D2Pre,D2Sen,D2Att,D2Aud,D2Tre,ROSen,ROAtt,ROAud,ROTre
0001,01 BELLEFONTE NORTH,391,51.93370165745856,47.740112994350284,50.91863517060368,51.051051051051054,51.90615835777126,1.2787723785166238,2.3017902813299185,6.9053708439897665,5.882352941176472
0002,02 BELLEFONTE NORTHEAST,687,40.21739130434783,39.403453689167975,39.78978978978979,42.71844660194174,42.281879194630875,0.589101620029453,1.6200294550810068,3.2400589101620025,3.534609720176729
0003,03 BELLEFONTE SOUTH,461,54.37352245862884,54.52380952380952,57.333333333333336,58.19070904645477,57.537688442211056,1.094091903719907,1.3129102844638973,1.969365426695846,2.188183807439825
0004,04 BELLEFONTE SOUTHEAST,718,43.00911854103344,43.07458143074581,44.50867052023121,47.43589743589743,44.518272425249165,1.2552301255230103,3.347280334728031,4.463040446304046,5.020920502092052
0005,05 BELLEFONTE WEST,928,52.675386444708685,53.398058252427184,55.38290788013318,58.4070796460177,58.32274459974587,1.193058568329719,2.060737527114964,3.3622559652928374,3.253796095444683
0006,06 CENTRE HALL,709,34.17533432392273,37.40219092331768,40.115440115440116,39.84375,40.65040650406504,0.8486562942008447,1.980198019801982,3.2531824611032545,3.8189533239038176
0007,07 HOWARD BORO,377,34.85714285714286,36.25730994152047,37.027027027027025,41.01796407185629,40.30769230769231,0.7957559681697646,1.8567639257294433,1.8567639257294433,2.3872679045092826
0008,08 MILESBURG,525,28.888888888888886,35.98233995584989,38.38582677165354,39.01918976545842,40.04329004329004,2.490421455938696,2.6819923371647514,4.214559386973182,4.214559386973182
0009,09 MILLHEIM,423,42.039800995024876,43.58974358974359,44.71153846153847,51.70603674540683,50.41551246537396,0.7125890736342066,1.187648456057011,2.137767220902609,2.6128266033254133
0010,10 PHILIPSBURG 1ST WARD,449,37.5,39.473684210526315,38.24884792626728,44.25427872860636,44.72361809045226,0.8968609865470878,2.2421524663677084,2.914798206278024,3.811659192825112
0011,11 PHILIPSBURG 2ND WARD,391,38.23529411764706,41.52046783625731,44.27083333333333,47.14285714285714,47.50733137829912,0,0.2597402597402598,1.0389610389610393,1.558441558441559
0012,12 PHILIPSBURG 3RD WARD,359,36.904761904761905,40.894568690095845,43.465909090909086,44.936708860759495,43.91025641025641,1.392757660167132,1.9498607242339872,4.178272980501396,4.456824512534818
